d(mm),B(mm),fc(Mpa),Rr,av/d,F,fy(Mpa),vf%,Vu (KN)
251,150,28.1,0.0267,3.0876,0.4875,565,0.75,112.95
251,150,25.3,0.0267,3.0876,0.4875,565,0.75,79.065
251,150,27.9,0.0267,3.0876,0.65,565,1,109.185
251,150,26.2,0.0267,3.0876,0.65,565,1,123.492
251,150,28.1,0.0267,3.0876,0.975,565,1.5,111.0675
251,150,27.3,0.0267,3.0876,0.975,565,1.5,131.022
251,150,27.5,0.0267,3.0876,0.4,565,0.5,64.758
251,150,24.9,0.0267,3.0876,0.4,565,0.5,77.1825
251,150,27.8,0.0267,3.0876,0.6,565,0.75,91.113
251,150,27.3,0.0267,3.0876,0.6,565,0.75,101.655
251,150,26.3,0.0267,3.0876,0.8,565,1,115.962
251,150,27.1,0.0267,3.0876,0.8,565,1,104.667
251,150,53.4,0.0267,3.0876,0.4875,565,0.75,112.95
251,150,54.1,0.0267,3.0876,0.4875,565,0.75,125.751
251,150,53.2,0.0267,3.0876,0.65,565,1,144.1995
251,150,55.3,0.0267,3.0876,0.65,565,1,165.66
251,150,64.6,0.0267,3.0876,0.975,565,1.5,195.4035
251,150,59.9,0.0267,3.0876,0.975,565,1.5,160.0125
251,150,47.8,0.0267,3.0876,0.4,565,0.5,127.6335
251,150,49.5,0.0267,3.0876,0.4,565,0.5,152.106
251,150,55.3,0.0267,3.0876,0.6,565,0.75,146.4585
251,150,56.4,0.0267,3.0876,0.6,565,0.75,178.0845
251,150,53.4,0.0267,3.0876,0.8,565,1,128.01
251,150,51,0.0267,3.0876,0.8,565,1,157.0005
251,150,27.8,0.0267,3.0876,0.375,565,1,78.6885
251,150,27.2,0.0267,3.0876,0.375,565,1,77.9355
251,150,27.6,0.0267,3.0876,0.6375,565,1,98.643
251,150,27.9,0.0267,3.0876,0.6375,565,1,81.324
251,150,34.7,0.0267,3.0876,0.375,565,1,99.396
251,150,36.2,0.0267,3.0876,0.375,565,1,100.149
251,150,37,0.0267,3.0876,0.6375,565,1,110.3145
251,150,38.3,0.0267,3.0876,0.6375,565,1,103.914
261,150,28.7,0.0116,1.9157,0.4,415,0.5,143.0398643
261,150,32.9,0.0195,3.0651,0.6,415,0.75,108.4618096
261,150,23.8,0.0195,3.0651,0.8,415,1,93.20518374
261,150,24.1,0.0195,3.0651,1,415,1.25,113.5867749
258,310,22,0.0184,2.4186,0.55,404,1,202.5
258,310,31,0.0245,2.4186,0.55,404,1,297.5
550,300,30,0.0119,2.7273,0.55,404,1,306
175,140,82,0.0128,0.9286,0.4,415,0.5,117.845
175,140,83.2,0.0128,0.9286,0.8,415,1,154.84
175,140,83.8,0.0128,0.9286,1.2,415,1.5,186.445
175,140,82,0.0128,1.9286,0.4,415,0.5,62.72
175,140,83.2,0.0128,1.9286,0.8,415,1,79.38
175,140,83.8,0.0128,1.9286,1.2,415,1.5,134.995
200,150,33.68,0.0134,2,0.545,420,1,65
200,150,24.53,0.0134,2,0.545,420,1,44
200,150,21.43,0.0134,2,1.09,420,2,50
200,150,9.77,0.0134,2,1.635,420,3,39
200,150,20.21,0.0134,3,0.545,420,1,32.5
200,150,21.43,0.0134,3,1.09,420,2,42.5
200,150,27.91,0.0134,3,1.635,420,3,58.5
200,150,24.53,0.0134,4,0.545,420,1,42.5
200,150,21.43,0.0134,4,1.09,420,2,35
381,152,49.2,0.0271,3.4071,0.8,410,1,171.99864
381,152,31,0.0271,3.4071,0.9,410,1.5,148.25472
381,152,44.9,0.0271,3.4071,0.9,410,1.5,188.79312
381,152,44.9,0.0271,3.4071,0.9,410,1.5,189.95136
381,152,49.2,0.0271,3.4071,0.8,410,1,217.74912
381,152,31,0.0271,3.4071,0.9,410,1.5,195.16344
381,152,38.1,0.0271,3.4738,0.6,410,1,146.51736
381,152,38.1,0.0271,3.4738,0.6,410,1,200.37552
381,152,38.1,0.0197,3.4738,0.6,410,1,175.47336
381,152,38.1,0.0197,3.4738,0.6,410,1,178.94808
260,200,41.2,0.0181,1.5051,0.1675,500,0.25,279.76
260,200,40.3,0.0181,1.5051,0.5092,500,0.76,299.52
260,200,40,0.0181,2.4625,0.1675,500,0.25,107.64
260,200,38.7,0.0181,2.4625,0.5092,500,0.76,144.04
260,200,40,0.0115,2.4625,0.1675,500,0.25,81.64
260,200,38.7,0.0115,2.4625,0.5092,500,0.76,107.12
460,200,37.7,0.028,3.3465,0.335,500,0.5,243.8
460,200,38.8,0.028,3.3465,0.335,500,0.5,252.08
460,200,37.7,0.028,3.3465,0.335,500,0.5,258.52
460,200,37.7,0.028,3.3465,0.335,500,0.5,263.12
260,200,46.9,0.0356,3.4198,0.1675,500,0.25,109.72
260,200,43.7,0.0356,3.4198,0.3417,500,0.51,120.12
260,200,48.3,0.0356,3.4198,0.5092,500,0.76,154.96
260,200,37.7,0.0283,3.4589,0.335,500,0.5,110.76
260,200,38.8,0.0283,3.4589,0.335,500,0.5,131.56
540,200,37.7,0.0273,3.481,0.1675,500,0.25,153.36
560,200,38.8,0.0273,3.3567,0.335,500,0.5,229.6
260,200,41.2,0.0181,4.006,0.1675,500,0.25,82.16
260,200,40.3,0.0181,4.006,0.5092,500,0.76,117
217,150,35,0.0185,1.129,0.6,522,0.75,148
217,150,35,0.0185,2.0046,0.6,522,0.75,98
217,150,35,0.0185,2.4885,0.6,522,0.75,84
622,300,34,0.0198,2.492,0.20865,560,0.321,274
622,300,36,0.0198,2.492,0.44655,560,0.687,344
135,100,64.2,0.0116,2.1481,0.325,500,0.5,42
135,100,64.2,0.0116,2.1481,0.325,500,0.5,44.31
135,100,64.2,0.0116,2.1481,0.325,500,0.5,43.02
135,100,64,0.0116,2.1481,0.65,500,1,44.95
135,100,64,0.0116,2.1481,0.65,500,1,47.62
135,100,64,0.0116,2.1481,0.65,500,1,42.85
135,100,60,0.0116,2.1481,0.8,500,1,49.35
